owner_cik,owner_name,issuer_count,filing_count,form3_count,form4_count,form5_count,roles,chairman_flag,director_flag,agent_prefixes,issuer_list
0002115802,Cui Joshua Kewei,2,4,2,2,0,Director,0,1,0001213900,Bitfufu Inc. [0001921158]; GCL Global Holdings Ltd [0002002045]
0001972314,De Luca Cristina Presz Palmaka,2,4,2,2,0,Director,0,1,0000950103; 0001628280,TELEFONICA BRASIL S.A. [0001066119]; Arcos Dorados Holdings Inc. [0001508478]
0002024780,Gyftakis Stavros,2,4,2,2,0,"Director; Director, CFO (PAO & PFO); See Remarks",0,1,0001140361,Seanergy Maritime Holdings Corp. [0001448397]; United Maritime Corp [0001912847]
0001573160,Huang James,2,4,2,2,0,Director,0,1,0001193125,"Connect Biopharma Holdings Ltd [0001835268]; CASI Pharmaceuticals, Inc. [0001962738]"
0002073196,Karlshoej Poul Ulrich,2,4,2,2,0,Director,0,1,0000911971; 0001419945; 0002073196,TEEKAY CORP LTD [0000911971]; TEEKAY TANKERS LTD. [0001419945]
0002117699,Leon Bentancor Oscar Alejandro,2,4,2,2,0,Director,0,1,0001213900; 0001499505,Adecoagro S.A. [0001499505]; Moolec Science SA [0001937737]
0001728659,Makov Efrat,2,4,2,2,0,Director,0,1,0001178913; 0001976408,CERAGON NETWORKS LTD [0001119769]; Allot Ltd. [0001365767]
0001842340,Pinelli Maria,2,3,1,2,0,Director,0,1,0001619762; 0001628280,Globant S.A. [0001557860]; Brightstar Lottery PLC [0001619762]
0002112616,Trematore Carla Alessandra,2,3,1,2,0,Director,0,1,0001213900; 0001292814,CI&T Inc [0001868995]; BRBI BR Partners S.A. [0002058601]
0002035043,Wang Jingbo,2,4,2,2,0,CFO; Director,0,1,0001193125,"Agora, Inc. [0001802883]; ATRenew Inc. [0001838957]"
0002119569,Wu Xiaoguang,2,4,2,2,0,Director,0,1,0001104659; 0001193125,51Talk Online Education Group [0001659494]; LexinFintech Holdings Ltd. [0001708259]
0001974555,Xu Ran,2,6,4,2,0,Chief Executive Officer; Director,0,1,0001104659; 0001193125; 0001974555,"Baidu, Inc. [0001329099]; JD.com, Inc. [0001549802]"
0001968607,Ye Changqing,2,4,2,2,0,Director,0,1,0001104659; 0001213900,Baozun Inc. [0001625414]; ASCENTAGE PHARMA GROUP INTERNATIONAL [0002023311]
0001971008,YU BIN,2,2,0,2,0,Director,0,1,0001104659,GDS Holdings Ltd [0001526125]; Baozun Inc. [0001625414]
0001975805,Zohar Nir,2,4,2,2,0,Director; President,0,1,0001178913; 0001628280,Wix.com Ltd. [0001576789]; Fiverr International Ltd. [0001762301]
0001944721,Ben-Tzvi Avraham,2,3,2,1,0,Director,0,1,0001213900; 0001493152,Quantum Cyber N.V. [0001874252]; Black Titan Corp [0002034400]
0001964101,Broida Tzvia,2,2,1,1,0,Director,0,1,0001104659; 0001964101,Global-E Online Ltd. [0001835963]; Freightos Ltd [0001927719]
0001190699,BURNS URSULA M,2,3,2,1,0,Director,0,1,0001046179; 0001104659,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD [0001046179]; IHS Holding Ltd [0001876183]
0001830146,Chen Kevin,2,3,2,1,0,Director,0,1,0001213900; 0001493152,Currenc Group Inc. [0001862935]; Scage Future [0002000366]
0002114121,Cheng Li-Lan,2,3,2,1,0,Director,0,1,0001104659; 0001493152,Yunji Inc. [0001759614]; Zhihu Inc. [0001835724]
0001269919,COHEN AVI,2,3,2,1,0,Director,0,1,0001178913; 0001493152,NOVA LTD. [0001109345]; ZOOZ Strategy Ltd. [0001992818]
0002114591,Cohen-Arazi Efraim,2,3,2,1,0,Director; Interim CEO,0,1,0001178913; 0001213900,PRF Technologies Ltd. [0001801834]; REGENTIS BIOMATERIALS LTD. [0001912966]
0001500978,Foo Jixun,2,3,2,1,0,Director,0,1,0001193125,"Baidu, Inc. [0001329099]; XPENG INC. [0001810997]"
0002115827,Gallo Joel Adalberto,2,3,2,1,0,Chief Financial Officer; Director,0,1,0001185185; 0001437749,BitVentures Ltd [0001785680]; XCHG Ltd [0001979887]
0002119103,Garcia Antonio Carlos,2,3,2,1,0,Chief Financial Officer,0,0,0001292814,EMBRAER S.A. [0001355444]; AZUL SA [0001432364]
0001284386,GELLER EHUD,2,3,2,1,0,Chief Executive Officer; Director; Exec Chairman of the Board,1,1,0001178913; 0001213900,PRF Technologies Ltd. [0001801834]; REGENTIS BIOMATERIALS LTD. [0001912966]
0001967428,Gutler Ron,2,3,2,1,0,Director,0,1,0001178913; 0001628280,Wix.com Ltd. [0001576789]; Fiverr International Ltd. [0001762301]
0001610314,Hadar Rami,2,3,2,1,0,Director,0,1,0001178913; 0001976408,NOVA LTD. [0001109345]; CERAGON NETWORKS LTD [0001119769]
0001601078,Iohan Gili,2,3,2,1,0,Director,0,1,0001178913,Fiverr International Ltd. [0001762301]; monday.com Ltd. [0001845338]
0002036857,Jolliffe Michael,2,4,3,1,0,Director,0,1,0001193125,TSAKOS ENERGY NAVIGATION LTD [0001166663]; StealthGas Inc. [0001328919]
0001313296,Ni Hope,2,3,2,1,0,Director,0,1,0001104659; 0001213900,uCloudlink Group Inc. [0001775898]; Zhihu Inc. [0001835724]
0002007989,Payorski Lilach,2,2,1,1,0,Director,0,1,0001104659; 0001213900,KAMADA LTD [0001567529]; Oddity Tech Ltd [0001907085]
0002045605,Pompeo Michael,2,3,2,1,0,Director,0,1,0000905148,VEON Ltd. [0001468091]; Kyivstar Group Ltd. [0002062440]
