rank,item_id,published_at,publisher,language,title,score,rationale_tags
41,2149,2026-05-06T11:05:41+00:00,nyunews.com,en,SPS professor emailed Epstein hundreds of times after sex offender conviction,82.3,base:51;primary:science_philanthropy;topic:banks_trusts_usvi;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:1;hash:unique;independence:first-pass
42,4322,2019-09-10T19:23:59+02:00,Neue Zürcher Zeitung,de,"Forscher bereuen, dass sie sich mit dem Sexualstraftäter Jeffrey Epstein eingelassen haben",82.3,base:29;primary:science_philanthropy;topic:political_intelligence;topic:science_philanthropy;era:2019;fulltext:substantive;outlet:quality;hash:unique;independence:first-pass;language:non-en
43,2214,2009-07-21,Palm Beach Daily News,en,Jeffrey Epstein released from jail today; won't have electronic monitoring device during year's probation,80.2,base:40;primary:political_intelligence;topic:political_intelligence;topic:legal_accountability;era:pre_2015;fulltext:substantive;historical:curated;hash:unique;independence:first-pass
44,7336,2023-05-16T11:14:09.972Z,CNBC,en,Elon Musk to be subpoenaed for documents in Virgin Islands' Epstein lawsuit against JPMorgan,80.0,base:49;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:maxwell;topic:political_intelligence;topic:properties;topic:legal_accountability;era:2020_2024;fulltext:substantive;documents:3;hash:unique;independence:repeat-capped
45,5584,2026-05-30T12:54:27,Associated Press,en,Congress has taken on Epstein. But lawmakers and survivors are still searching for accountability,79.9,base:49;primary:banks_trusts_usvi;topic:banks_trusts_usvi;topic:wexner_black;topic:maxwell;topic:political_intelligence;topic:science_philanthropy;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:3;outlet:wire-origin;hash:unique;independence:first-pass
46,3771,2018-12-09T01:46:22Z,El Mundo,es,"Jeffrey Epstein, depredador sexual y ""hombre fant�stico"" para Donald Trump",79.9,base:44;primary:wexner_black;topic:wexner_black;topic:maxwell;topic:political_intelligence;era:2015_2018;fulltext:substantive;outlet:quality;hash:unique;independence:repeat-capped;language:non-en
47,2122,2026-05-15T23:45:00Z,sott.net,en,Commerce Secretary Howard Lutnick explodes over question on Epstein mask resembling him: 'I have hair',79.2,base:56;primary:staff_operations;topic:banks_trusts_usvi;topic:political_intelligence;topic:science_philanthropy;topic:properties;topic:staff_operations;topic:legal_accountability;era:2026_plus;fulltext:longform;documents:3;original-signals:1;hash:unique;independence:first-pass
48,32,2020-11-12T19:59:18Z,CNN,en,DOJ review finds Alex Acosta used ‘poor judgment’ in Jeffrey Epstein deal,78.8,base:38;primary:staff_operations;topic:maxwell;topic:political_intelligence;topic:staff_operations;topic:legal_accountability;era:2020_2024;fulltext:substantive;documents:1;original-signals:1;hash:unique;independence:first-pass
49,3805,2019-09-05T05:00:00+02:00,El Confidencial,es,El 'asesinato' de Jeffrey Epstein,78.6,base:39;primary:science_philanthropy;topic:political_intelligence;topic:science_philanthropy;era:2019;fulltext:longform;outlet:quality;hash:unique;independence:first-pass;language:non-en
50,5017,2023-05-22T12:57:27+00:00,NRC,nl,"Jeffrey Epstein probeerde Bill Gates te chanteren met affaire, onthult Amerikaanse krant",76.7,base:52;primary:science_philanthropy;topic:banks_trusts_usvi;topic:wexner_black;topic:political_intelligence;topic:science_philanthropy;era:2020_2024;fulltext:substantive;documents:1;outlet:quality;hash:unique;independence:repeat-capped;language:non-en
