recipient_uei,recipient_name,n_awards,window_obligations,ceiling_sum_no_double_count,not_competed_window_obligations,not_competed_share
PQNNHF72NNM6,"CHEROKEE NATION STRATEGIC PROGRAMS, L.L.C.",13,46145315.83,158303787.87,0,0.0
MLP1RM8SEMW5,FOCUS REVISION PARTNERS LLC,1,46079528.35,118017446.86,0,0.0
CYX7XBK19BU4,"ANACAPA MICRO PRODUCTS, INC.",42,45699770.04,143632861.59,0,0.0
NP74V9C64DN5,"KNIGHT POINT SYSTEMS, LLC",3,45379838.43,378449746.78,0,0.0
LS7WLM8JFW99,DEFINITIVE LOGIC CORPORATION,12,45338786.17,198574729.60,0,0.0
LD1DU6SKNP83,ACENTRA HEALTH LLC,1,44591844.92,67464245.88,44591844.92,1.0
QWM2D2ACD8F9,GREENLIGHT GROUP LLC,4,43821000.00,12845000000.00,0,0.0
DVEJNK717BB6,SHIELD AI INC,9,43672632.25,229305590.21,0,0.0
Z6CKDZ1ME329,AVIATION SECURITY MANAGEMENT LLC,7,43643290.68,8600000000.00,0,0.0
MYKLJHTX3MM7,"LEIDOS, INC.",12,43247607.24,337898997.93,0,0.0
JVFBQNF1ZS13,"NOVILO TECHNOLOGY SOLUTIONS, LLC",1,43157333.18,135978755.76,0,0.0
C1HBCJ9RMBV3,THE JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY LLC,9,43127142.50,308720204.08,38379041.50,0.8899
HEN6VJKBN8P3,"ENVIRONMENTAL, SAFETY & HEALTH CONSULTING SERVICES, INC.",12,42810245.26,26999000.00,42810245.26,1.0
ENR9ZAAGMWJ5,THE KINETIC GROUP SALES LLC,51,42096551.12,455963673.40,0,0.0
CN4KSKX2UQY5,"COUNTERTRADE PRODUCTS, INC.",24,41727916.96,133707222.14,0,0.0
CN6JHWKMSCD5,ISS ACTION INC,9,41296774.68,370670737.11,-233520.86,-0.0057
ZSFKFBKXEXX3,TTEC GOVERNMENT SOLUTIONS LLC,2,41017453.80,228420046.72,0,0.0
U8PWX251MWG6,UNISSANT INC.,3,40779749.33,2355314365.44,0,0.0
NF34JCA2PME3,ALPHA OMEGA INTEGRATION LLC,5,40407569.05,171754680.51,0,0.0
DR6MQ56MGFA5,CAPGEMINI GOVERNMENT SOLUTIONS LLC,8,39679929.23,564410409.48,0,0.0
DMEAS1ZSTVY8,PARLIAMENT LLC,42,39620677.68,125817441.35,19998822.84,0.5048
KJB1WJG4NXS7,IRON MOUNTAIN INFORMATION MANAGEMENT LLC,26,39366393.11,441997215.75,30908470.82,0.7851
MLM4M59B4A57,"COMPASS PTS JV, THE",49,39151392.44,622676525.89,0,0.0
NVC1EFKKYB93,V2X AEROSPACE LLC,25,39148538.26,768600000.00,0,0.0
DCFBRS7XD863,"SAFRAN HELICOPTER ENGINES USA, INC",4,38618214.38,107852138.76,38618214.38,1.0
JP1AJYKRSMC4,"ITC FEDERAL, LLC",16,38579277.07,422747969.43,0,0.0
CFAQK9L1C7W7,"NIYAMIT, INC.",12,38234101.14,122372427.45,0,0.0
PC8MDM9DDWT6,INGENESIS INC,3,37862640.69,2641708076.00,0,0.0
NUNVJJM2UYY1,"EMERGENT, LLC",26,37382598.89,75531667.45,0,0.0
MHLWVTNDP5B8,"SPECTRUM SECURITY SERVICES, INC.",6,37369613.95,470192703.37,0,0.0
KHK8QYLFGLU1,ROLLS-ROYCE CORPORATION,17,36747167.24,233778108.33,0,0.0
ZDLJT9HL3FK1,"AHTNA PROFESSIONAL SERVICES, INC.",8,36450086.14,1231152999.79,0,0.0
G2D4Q7UKR5P5,"CTG FEDERAL, LLC",13,36006741.48,58538445.18,0,0.0
