solicitation_id,n_awards,n_distinct_awardees,modal_offers_received,offers_values_seen,everyone_who_offered_won,awardees_exceed_offers,shared_ceiling_suspected,shared_or_max_ceiling,family_ceiling_sum,family_window_obligations_members,child_task_order_window_obligations,any_idv,components,sample_recipients
N/A,27,22,1,1x13;2x1,0,1,0,65802556.00,171341037.33,34533845.55,7456058.01,1,Federal Emergency Management Agency;Office of Procurement Operations;Transportation Security Administration;U.S. Citizenship and Immigration Services;U.S. Coast Guard;U.S. Customs and Border Protection;U.S. Immigration and Customs Enforcement,"ACCENTURE FEDERAL SERVICES LLC;AMERICAN ASSOCIATION OF COLLEGIATE REGISTRARS & ADMISSIONS OFFICERS;ASPETTO INC;AXON ENTERPRISE, INC.;COASTAL INSPECTION SERVICES,INCORPORATED;DEPAUL INDUSTRIES"
70US0921R70090039,2,2,3,3x1;4x1,0,0,0,84209695.60,158712330.02,0,6698066.47,1,U.S. Secret Service,"CELLEBRITE INC;THE KACE COMPANY, LLC."
70US0926R70093555,3,3,9,9x3,0,0,0,62000000.00,155000000.00,0,2627626.48,1,U.S. Secret Service,"AT-TRAK JV, LLC;BUCKEYE TECHNOLOGY SOLUTIONS, LLC;GEOSPATIAL AND CLOUD ANALYTICS INC."
70FB8024R00000009,3,3,5,5x3,0,0,1,49500000.00,148500000.00,0,11878769.79,1,Federal Emergency Management Agency,GENERAL AIR PRODUCTS INC;JMB WHOLESALE LLC;WS DARLEY & CO
70Z08725RJUNE28424423,4,4,13,13x3;1x1,0,0,0,45000000.00,145057666.62,10057666.62,15000.0,1,U.S. Coast Guard,"AHTNA BUILDERS, LLC;BETHEL ENGINEERING & CONSULTING LLC;BRICE ENGINEERING, LLC;EQMS-BEM JVII, LLC"
70RTAC22R00000027,3,3,8,8x3,0,0,1,43161835.96,129485507.88,-7500.00,1205078.89,1,Office of Procurement Operations,"BUGCROWD INC.;SECURESOFT TECHNOLOGIES LLC;SYNACK, INC."
70FB7019R00000017,4,2,6,6x2,0,0,0,87658877.30,127675046.37,145626.67,0,1,Federal Emergency Management Agency,"INGLETT & STUBBS INTERNATIONAL, LLC;MULTIQUIP INC."
70RDAD22Q00000097,4,4,5,5x4,0,0,1,30000000.00,120000000.00,0,212749.24,1,Office of Procurement Operations,"ECONOMETRICA, INC.;FI CONSULTING, INC.;OPTIMAL SOLUTIONS GROUP, L.L.C;THE MANHATTAN STRATEGY GROUP LLC"
70LGLY21BGLB00001,7,7,8,8x7,0,0,0,34000000.00,107000000.00,0,23790617.71,1,Federal Law Enforcement Training Center,INTERNATIONAL CARTRIDGE CORP;NORMA PRECISION INC.;NPEE L.C;OLIN WINCHESTER LLC;SOUTHERN BALLISTIC RESEARCH LLC;THE KINETIC GROUP SALES LLC
70FA3025Q00000058,2,2,,,0,0,0,49937204.20,99873781.06,0,18111917.34,1,Federal Emergency Management Agency,GOVERNMENT ACQUISITIONS INC;STERLING COMPUTERS CORPORATION
HSCG23-09-R-MNQ227,3,2,6,6x1;8x1,0,0,0,45180324.92,91405363.79,0,0,1,U.S. Coast Guard,GRAVOIS ALUMINUM BOATS LLC;VIGOR KVICHAK LLC
70Z08719RALASKAAE,3,3,14,14x3,0,0,1,30000000.00,90000000.00,0,3898004.96,1,U.S. Coast Guard,"BEZEK-DURST-SEISER, INC.;ECH ARCHITECTURE PS;JENSEN YORBA WALL, INC."
70CTD021Q00000091,2,2,5,5x2,0,0,0,80002907.17,80016122.92,15830448.67,0,0,U.S. Immigration and Customs Enforcement,"IRONCLAD TECHNOLOGY SERVICES LLC;ITC FEDERAL, LLC"
70US0924R70094619,3,3,7,7x3,0,0,0,50000000.00,74000000.00,0,8298351.99,1,U.S. Secret Service,"ACTIVE SECURITY CONSULTING LLC;GOVPLACE, LLC;RA PERFORMANCE LLC"
70SBUR24R00000009,2,2,20,20x1;19x1,0,0,0,68484051.19,68484051.19,9252006.19,0,0,U.S. Citizenship and Immigration Services,AMAZE TECHNOLOGIES LLC;ANALYTICA LLC
70Z08023R21909B00,3,3,4,4x3,0,0,1,21783607.63,65350822.89,0,1986986.62,1,U.S. Coast Guard,"BENDER CCP, INC.;COLONNA'S SHIP YARD, INCORPORATED;DAMCO, INC"
70FBTX25Q00000001,3,3,4,4x3,0,0,0,40238491.54,64482589.16,-436450.84,0,0,Federal Emergency Management Agency,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.;ITCON SERVICES LLC;MAXIMUS FEDERAL SERVICES, INC."
70FB7024R00000011,7,4,10,10x4,0,0,0,17823787.60,61732294.75,9535.12,3750.32,1,Federal Emergency Management Agency,"DPALEX, INC.;J & M INDUSTRIES, INC.;RCG OF NORTH CAROLINA, LLC;ROYAL DISTRIBUTORS LLC"
70T04024R7672N005,2,2,1,1x2,0,1,0,35000000.00,59724455.86,0,2551862.72,1,Transportation Security Administration,DAIFUKU AIRPORT AMERICA CORPORATION;PENDAR TECHNOLOGIES LLC
70SBUR23Q00000098,2,2,,,0,0,0,33236826.64,57063843.69,11638965.32,0,0,U.S. Citizenship and Immigration Services,OMNIPLEX WORLD SERVICES CORPORATION;PARAGON SYSTEMS INC
70CMSW22R00000011,2,2,7,7x2,0,0,0,32387445.00,52811660.00,0,2120726.0,1,U.S. Immigration and Customs Enforcement,OLIN WINCHESTER LLC;THE KINETIC GROUP SALES LLC
70Z04024R58651B00,2,2,5,5x2,0,0,0,26097716.36,52195432.72,0,4171459.97,1,U.S. Coast Guard,"THE W.W. WILLIAMS COMPANY, LLC;WESTERN BRANCH DIESEL, LLC"
70FBTX24Q00000008,2,2,,,0,0,0,35826416.72,50149735.58,-28301890.42,0,0,Federal Emergency Management Agency,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.;MAXIMUS FEDERAL SERVICES, INC."
70US0924R70094491,2,2,4,4x2,0,0,0,31500000.00,49900000.00,0,9527659.88,1,U.S. Secret Service,"GOVPLACE, LLC;PANAMERICA COMPUTERS, INC."
70Z08521RP4503400,2,2,9,9x2,0,0,0,24943123.00,49886246.00,0,0,1,U.S. Coast Guard,"FOURTUNE 4, INC.;THE AULSON CO., INC"
70Z0G121RPRV00600,5,5,17,17x5,0,0,1,9975000.00,49875000.00,0,3513599.17,1,U.S. Coast Guard,"COLBY CO LLC;DUBOIS & KING INC;ENGINEERING DESIGN MANAGEMENT P.C.;MJ ENGINEERING, ARCHITECTURE, LANDSCAPE ARCHITECTURE, AND LAND SURVEYING P.C.;OAK POINT ASSOCIATES"
