holder_id,business_name,name_variants,dbas,license_numbers,source_row_ids,scope_classes,has_core_alcohol_license,name_mode_review_reasons
BH-1cacc16aa6144663,"AIMBRIDGE HOSPITALITY, LLC","[""AIMBRIDGE HOSPITALITY, LLC""]","[""EMBASSY SUITES HOTEL""]","[""LB-101654""]","[""R02805""]","[""alcohol_license""]",True,[]
BH-5d08430ebe62fffe,"AL-WADI RESTAURANT, LLC","[""AL-WADI RESTAURANT, LLC""]","[""AL-WADI""]","[""LB-160790""]","[""R01185""]","[""alcohol_license""]",True,[]
BH-b1a54301061fc166,"ALEX'S MARKET, INC.","[""ALEX'S MARKET, INC.""]","[""ALEX'S MARKET, INC.""]","[""LB-102035""]","[""R02928""]","[""alcohol_license""]",True,[]
BH-460f0335d0f5f929,"ALGONQUIN CLUB HEXAGON, LLC","[""ALGONQUIN CLUB HEXAGON, LLC""]","[""The 'Quin House""]","[""LB-98780""]","[""R02611""]","[""alcohol_license""]",True,[]
BH-33bf88444f20107e,"ALLSTON BBQ, LLC","[""ALLSTON BBQ, LLC""]","[""BB.Q Chicken""]","[""LB-99639""]","[""R02352""]","[""alcohol_license""]",True,[]
BH-eac31e7b0145e783,ALLSTON VENTURE FIVE INC.,"[""ALLSTON VENTURE FIVE INC.""]","[""THE AVENUE BAR & GRILL""]","[""LB-99012""]","[""R02459""]","[""alcohol_license""]",True,[]
BH-508db9847b0b5f3d,"AM CALLEJAS, INC.","[""AM CALLEJAS, INC.""]","[""La Hacienda and Bar""]","[""LB-98894""]","[""R02249""]","[""alcohol_license""]",True,[]
BH-7707fd44dc99d61e,"AMERICAN AIRLINES, INC.","[""AMERICAN AIRLINES, INC.""]","[""ADMIRALS CLUB""]","[""LB-98819""]","[""R03595""]","[""alcohol_license""]",True,[]
BH-fb29dbbb3b0a0f65,"AMERICAN MULTI-CINEMA, INC.","[""AMERICAN MULTI-CINEMA, INC.""]","[""AMC THEATRES BOSTON COMMON 19"", ""AMC Theaters""]","[""LB-99166"", ""LB-99352""]","[""R02505"", ""R02630""]","[""alcohol_license""]",True,[]
BH-0054256cad2e3ab0,AMF Bowling Centers Inc.,"[""AMF Bowling Centers Inc.""]","[""JILLIAN'S BILLIARD'S CLUB""]","[""LB-98964""]","[""R02182""]","[""alcohol_license""]",True,[]
