holder_id,business_name,holder_key,license_numbers,dbas,scope_classes,query,current_state,lapsed_state
BH-2c19d37d79c4069c,"ANTICO FORNO, INC.",ANTICOFORNOINC,"[""LB-99732""]","[""ANTICO FORNO""]","[""alcohol_license""]",ANTICO FORNO,pending,pending
BH-4b611b5f7095ef2e,"Apex Bar and Lounge, Inc.",APEXBARANDLOUNGEINC,"[""LB-98991""]","[""Apex Bar and Lounge""]","[""alcohol_license""]",Apex Bar and Lounge,pending,pending
BH-0d7f34039f4dac34,APPLE NEW ENGLAND LLC,APPLENEWENGLANDLLC,"[""LB-99429""]","[""APPLEBEE'S NEIGHBORHOOD GRILL & BAR""]","[""alcohol_license""]",APPLE NEW ENGLAND,pending,pending
BH-6ee782b3278e37ea,"Aramark Sports and Entertainment Services, LLC",ARAMARKSPORTSANDENTERTAINMENTSERVICESLLC,"[""LB-99120""]","[""The House of Blues""]","[""alcohol_license""]",Aramark Sports and Entertainment Services,pending,pending
BH-39ecfe776090639e,Archana Corp,ARCHANACORP,"[""LB-469475""]","[""EZ Market""]","[""alcohol_license""]",Archana,pending,pending
BH-187b47d0368bdf74,"ARCHDALE LIQUOR, INC.",ARCHDALELIQUORINC,"[""LB-101936""]","[""ARCHDALE LIQUORS""]","[""alcohol_license""]",ARCHDALE LIQUOR,pending,pending
BH-063f46be39ba523a,ARIANA RESTAURANT INCORPORATED,ARIANARESTAURANTINCORPORATED,"[""LB-138942""]","[""Ariana Restaurant""]","[""alcohol_license""]",ARIANA RESTAURANT,pending,pending
BH-1429e059a08060af,ARIAS-OBJIO CORPORATION,ARIASOBJIOCORPORATION,"[""LB-101995""]","[""MVP LIQUORS""]","[""alcohol_license""]",ARIAS-OBJIO,pending,pending
BH-f08e218c8b8040fd,Arjun Inc.,ARJUNINC,"[""LB-139226""]","[""VINE & BARLEY""]","[""alcohol_license""]",Arjun,pending,pending
BH-5744c115b01e65f0,"A&R Variety Store, Inc.",ARVARIETYSTOREINC,"[""LB-465562""]","[""Roslindale Variety Store""]","[""alcohol_license""]",A&R Variety Store,pending,pending
BH-e437bffba8f542a1,AS Boston North Station Operations LLC.,ASBOSTONNORTHSTATIONOPERATIONSLLC,"[""LB-99231""]","[""citizenM Hotel""]","[""alcohol_license""]",AS Boston North Station Operations,pending,pending
BH-92240b48b91895f8,Ashish Corp.,ASHISHCORP,"[""LB-451073""]","[""Orient Heights Food Market""]","[""alcohol_license""]",Ashish,pending,pending
BH-5155356647078125,"ASIAN CUISINE, INC.",ASIANCUISINEINC,"[""LB-98931""]","[""TYPHOON-RESTAURANT""]","[""alcohol_license""]",ASIAN CUISINE,pending,pending
BH-8c70199e4aed06fa,"ASIAN GARDEN, INC.",ASIANGARDENINC,"[""LB-99578""]","[""ASIAN GARDEN""]","[""alcohol_license""]",ASIAN GARDEN,pending,pending
BH-036174d6f05231b6,"ASSAGGIO, INC.",ASSAGGIOINC,"[""LB-99362""]","[""ASSAGGIO""]","[""alcohol_license""]",ASSAGGIO,pending,pending
BH-f264e69c9082d70f,ASSOCIATES AND LEISURE ACTIVITIES LLC,ASSOCIATESANDLEISUREACTIVITIESLLC,"[""LB-99073""]","[""LIVE AT THE WILBUR""]","[""alcohol_license""]",ASSOCIATES AND LEISURE ACTIVITIES,pending,pending
BH-38f86db991533080,"ATCF, LLC",ATCFLLC,"[""LB-587892""]","[""Knoll Street Tavern""]","[""alcohol_license""]",ATCF,pending,pending
BH-d7f0e9e8a01cac43,"ATG Colonial, LLC",ATGCOLONIALLLC,"[""LB-101569""]","[""THE EMERSON COLONIAL THEATRE""]","[""alcohol_license""]",ATG Colonial,pending,pending
BH-5defe29a7bc3710b,"A.T.G., INC.",ATGINC,"[""LB-98998""]","[""CLERYS""]","[""alcohol_license""]",A.T.G.,pending,pending
BH-79bab91872862d25,"ATHENS MARKET II, INC.",ATHENSMARKETIIINC,"[""LB-101990""]","[""GIORGIANA'S""]","[""alcohol_license""]",ATHENS MARKET II,pending,pending
BH-00cef8128d3ac4c1,ATLANTIC SHORE RESTAURANT CORPORATION,ATLANTICSHORERESTAURANTCORPORATION,"[""LB-99395""]",[],"[""alcohol_license""]",ATLANTIC SHORE RESTAURANT,pending,pending
BH-0e2e99bd75236272,"AV 330 Washington, LLC",AV330WASHINGTONLLC,"[""LB-99739""]","[""All’ Antico Vinaio""]","[""alcohol_license""]",AV 330 Washington,pending,pending
BH-8ba00a4c159c8077,"AV 565 Boylston, LLC",AV565BOYLSTONLLC,"[""LB-99764""]","[""All’Antico Vinaio""]","[""alcohol_license""]",AV 565 Boylston,pending,pending
BH-86388bf6e3a58137,"AZUMI, LLC",AZUMILLC,"[""LB-99110""]","[""ZUMA""]","[""alcohol_license""]",AZUMI,pending,pending
