license_num,business_name,dba_name,license_type,holder_key,sample_rank
LB-99241,"UMNV 240A NEWBURY, LLC",,CV7 All Alc.,UMNV240ANEWBURYLLC,93fafc97edcd368837d0d0efeb22a66ffd82279418fc0a45a76fa9dbfbbbdffc
LB-99008,"T AND T ICUISINE, INC.",SAIGON SEAFOOD RESTAURANT,CV7 All Alc.,TANDTICUISINEINC,93fb0f3df470d955a276e79debe2d2e16a7e4ceb940796263d8264b17fbe87e5
LB-99733,"TRATTORIA II PANINO HANOVER, INC.","TRATTORIA II PANINO HANOVER, INC.",CV7 All Alc.,TRATTORIAIIPANINOHANOVERINC,943d1163c5f54e84cbb3acaf209639886d868cadb85460e2650045b3ffd626a8
LB-99306,"HIGH STREET TRS, LLC",HIGH STREET PLACE,CV7 All Alc.,HIGHSTREETTRSLLC,9543a5de6bdd15ec146fe69861e52df75f43b3fc7e2a6ee49f3679828dba6726
LB-99222,"HE PUB, INC.",THE JEANIE JOHNSTON,CV7 All Alc.,HEPUBINC,9622f9372e20b87b331b919268e0139221aba620d5aae3e71a17f3561e08e7d6
LB-99157,"DUNBOY, INC.",MJ O'CONNOR'S IRISH PUB,CV7 All Alc.,DUNBOYINC,9680ee932b2c21e51f0304d5193cf709f38f48d8f2c2d738c98e95469d9dfbae
LB-98968,"TIP TAP ROOM, INC.",TIP TAP ROOM,CV7 All Alc.,TIPTAPROOMINC,96bfb681bd6999480dabe1f6ef2a2eb1852f6f31a2ecede782e89fa0049885d9
LB-99416,K & G Entertainment LLC,SIDEBAR,CV7 All Alc.,KGENTERTAINMENTLLC,96ebff1d1fb1668641dedb14ee3d22ee25a9229b9570c9cee5a3f70b935e7ed3
LB-99198,"BostoninFour, LLC",A.T. O’Keeffe’s,CV7 All Alc.,BOSTONINFOURLLC,96f993e13dd93c0cc6f797290c0e132e0101a4356d39a9077af951875a89487d
LB-98979,"1732 CENTRE STREET,INC.",WEST,CV7 All Alc.,1732CENTRESTREETINC,977d50679ba16373aea46c3f5f6445decdf39db95f4a772333010708f622869d
LB-99202,"STK Boston, LLC",STK Steakhouse,CV7 All Alc.,STKBOSTONLLC,993ab0f99f71960f17289e66e6c3dcdba9c13e103a93064556fc37fb23867ee9
LB-99424,"CONGRESS FINE DINING, LLC",LUCKY'S,CV7 All Alc.,CONGRESSFINEDININGLLC,9973dd60053681b47152d9b2d630a0a0887770ee6d4db18ccb76f9701e0a6a53
LB-99283,Off the Rails Boston LLC,SCHOLARS,CV7 All Alc.,OFFTHERAILSBOSTONLLC,99f296b4c844b30321d2968a9e9e0d2b7013add37030ff3a836f322cb7e24b6e
LB-99021,GOPCHANG  BOSTON CORPORATION,GOPCHANG STORY,CV7 All Alc.,GOPCHANGBOSTONCORPORATION,9b065a2e8bba9d8baf67739ac478166e3f4ab3d05d4c2dbaf40c139089d1f5ab
LB-101577,Limani Seaport Boston LLC,Limani Grille,CV7 All Alc.,LIMANISEAPORTBOSTONLLC,9be75bac289b7f036ecce8a28f732042102e80b0106f830be093015d9912b503
LB-98953,955 LLC,DILLON'S,CV7 All Alc.,955LLC,9d5324c3bc713f0948d0998d49c9ae5bc006c2dd53d7d51d8c3fe79f59e921c9
LB-99228,"Sugarloaf Hospitality, LLC",TGI Friday’s,CV7 All Alc.,SUGARLOAFHOSPITALITYLLC,9e685b9ae589d7227996496a3f9757b085c6c2237fb5a187168ca24aba55c56f
LB-98911,BOSTON HOSPITALITY PARTNERS LLC,,CV7 All Alc.,BOSTONHOSPITALITYPARTNERSLLC,9e9baac648053f777a704cbedc89166a7145bafe6e627d060cf2bc4f18689f76
