award_id,generated_award_id,modification,action_date,transaction_amount,recipient_name,recipient_uei,award_type,awarding_subagency,naics_code,naics_description,psc_code,psc_description,description
70CDCR25FR0000009,CONT_AWD_70CDCR25FR0000009_7012_70CDCR20D00000009_7012,P00001,2025-02-19,7341784.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561612,SECURITY GUARDS AND PATROL SERVICES,S206,HOUSEKEEPING- GUARD,"FUNDING FOR ADELANTO DETENTION SERVICES FACILITY OPERATING CHARGE, TRANSPORTATION, AND GUARD SERVICES AT ADELANTO DETENTION CENTER IN LOS ANGELES CALIFORNIA"
70CDCR25FR0000010,CONT_AWD_70CDCR25FR0000010_7012_70CDCR20D00000009_7012,P00001,2025-02-21,2811134.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561612,SECURITY GUARDS AND PATROL SERVICES,S206,HOUSEKEEPING- GUARD,FUNDING FOR DESERT VIEW DETENTION SERVICES FACILITY OPERATING CHARGE & PER DIEM RATES AT THE DESERT VIEW ANNEX IN LOS ANGELES CALIFORNIA
70CDCR24FR0000056,CONT_AWD_70CDCR24FR0000056_7012_HSCEDM17D00009_7012,P00005,2025-02-24,0.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,S206,HOUSEKEEPING- GUARD,"THE PURPOSE OF THIS MODIFICATION IS TO ADJUST THE GUARD, TRANSPORTATION, AND BED DAY RATES IN ACCORDANCE WITH THE APPROVED SERVICE CONTRACT ACT WAGE ADJUSTMENT FOR DETENTION SERVICES AT MONTGOMERY PROCESSING CENTER."
70CDCR25FR0000009,CONT_AWD_70CDCR25FR0000009_7012_70CDCR20D00000009_7012,P00002,2025-02-24,14335200.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561612,SECURITY GUARDS AND PATROL SERVICES,S206,HOUSEKEEPING- GUARD,"FUNDING FOR ADELANTO DETENTION SERVICES FACILITY OPERATING CHARGE, DAILY OCCUPANCY, TRANSPORTATION, GUARD SERVICES, AND COVID TESTS AT ADELANTO DETENTION CENTER IN LOS ANGELES CALIFORNIA"
70CDCR25FR0000005,CONT_AWD_70CDCR25FR0000005_7012_70CDCR22D00000001_7012,P00005,2025-02-26,0.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,S206,HOUSEKEEPING- GUARD,"DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY"
70CDCR24FR0000053,CONT_AWD_70CDCR24FR0000053_7012_70CDCR21D00000004_7012,P00004,2025-02-28,2790904.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561612,SECURITY GUARDS AND PATROL SERVICES,S206,HOUSEKEEPING- GUARD,THIS MODIFICATION OBLIGATES FUNDS FOR DETENTION AND TRANSPORTATION SERVICES TO HOUSE AND SAFEGUARD ILLEGAL ALIEN DETAINEES AT BROWARD TRANSITIONAL CENTER WITHIN ENFORCEMENT AND REMOVAL OPERATIONS (ERO) MIAMI AREA OF RESPONSIBILITY (AOR)
70CDCR23FR0000002,CONT_AWD_70CDCR23FR0000002_7012_HSCEDM15D00015_7012,P00009,2025-03-03,-114145.78,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,S206,HOUSEKEEPING- GUARD,"THE MODIFICATION IS TO CLOSE OUT THE CONTRACT AND DE-OBLIGATE FUNDING FOR THE NORTHWEST DETENTION CENTER, TACOMA"
70CDCR25FR0000010,CONT_AWD_70CDCR25FR0000010_7012_70CDCR20D00000009_7012,P00002,2025-03-03,5622400.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561612,SECURITY GUARDS AND PATROL SERVICES,S206,HOUSEKEEPING- GUARD,FUNDING FOR DESERT VIEW DETENTION SERVICES FACILITY OPERATING CHARGE & PER DIEM RATES AT THE DESERT VIEW ANNEX IN LOS ANGELES CALIFORNIA
70CDCR25FR0000004,CONT_AWD_70CDCR25FR0000004_7012_HSCEDM15D00015_7012,P00002,2025-03-04,6385200.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,S206,HOUSEKEEPING- GUARD,THIS MODIFICATION ADDS FUNDING TO THE AWARD FOR DETENTION AND TRANSPORTATION SERVICES AT A DETENTION FACILITY IN THE SEATTLE AREA OF RESPONSIBILITY
70CDCR25FR0000005,CONT_AWD_70CDCR25FR0000005_7012_70CDCR22D00000001_7012,P00006,2025-03-05,4970776.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,S206,HOUSEKEEPING- GUARD,"THIS TASK ORDER PROVIDES DETENTION, TRANSPORTATION, AND MEDICAL SERVICES FOR DENVER AURORA CONTRACT DETENTION FACILITY TO ACHIEVE THE ICE MISSION TO SAFELY HOUSE DETAINED ALIENS. THIS MODIFICATION OBLIGATES INCREMENTAL FUNDING FOR THESE SERVICES."
70CDCR25FR0000013,CONT_AWD_70CDCR25FR0000013_7012_70CDCR20D00000008_7012,P00002,2025-03-05,15457395.19,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561612,SECURITY GUARDS AND PATROL SERVICES,S206,HOUSEKEEPING- GUARD,THE PURPOSE OF THIS MODIFICATION IS TO ADD FUNDING FOR DETENTION SERVICES IN MESSA VERDE AND GOLDEN STATES ICE DETENTION FACILITIES.
70CDCR25FR0000029,CONT_AWD_70CDCR25FR0000029_7012_70CDCR25D00000007_7012,0,2025-03-06,4448573.9,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561612,SECURITY GUARDS AND PATROL SERVICES,S206,HOUSEKEEPING- GUARD,"THE PURPOSE OF THIS NEW TASK ORDER IS TO PROVIDE THE FUNDING NECESSARY FOR TRANSITION, DETENTION, AND TRANSPORTATION SERVICES FOR HOUSING ICE ALIENS AT THE DELANEY HALL CONTRACT DETENTION FACILITY IN NEWARK NEW JERSEY."
70CDCR25FR0000004,CONT_AWD_70CDCR25FR0000004_7012_HSCEDM15D00015_7012,P00003,2025-03-11,15505.85,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,S206,HOUSEKEEPING- GUARD,THIS MODIFICATION ADDS FUNDING TO THE AWARD FOR DETENTION AND TRANSPORTATION SERVICES AT A DETENTION FACILITY IN THE SEATTLE AREA OF RESPONSIBILITY
70CDCR24FC0000004,CONT_AWD_70CDCR24FC0000004_7012_HSCEDM14A00001_7012,P00008,2025-03-12,1140975.93,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,BPA CALL,U.S. Immigration and Customs Enforcement,922140,CORRECTIONAL INSTITUTIONS,S206,HOUSEKEEPING- GUARD,THE PURPOSE OF THIS MODIFICATION IS TO ADD FUNDING FOR DETENTION SERVICES AT RIO GRANDE DETENTION CENTER.
70CDCR24FR0000038,CONT_AWD_70CDCR24FR0000038_7012_70CDCR20D00000012_7012,P00005,2025-03-12,5840393.54,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,922140,CORRECTIONAL INSTITUTIONS,S206,HOUSEKEEPING- GUARD,THE PURPOSE OF THIS MODIFICATION IS TO PROVIDE DETENTION AND TRANSPORTATION SERVICES FOR ALIEN DETAINEES AT THE ICE SOUTH TEXAS ICE PROCESSING CENTER (STIPC).
70CDCR24FR0000010,CONT_AWD_70CDCR24FR0000010_7012_70CDCR20D00000008_7012,P00010,2025-03-19,-412389.51,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561612,SECURITY GUARDS AND PATROL SERVICES,S206,HOUSEKEEPING- GUARD,THE PURPOSE OF THIS MODIFICATION IS TO DE-OBLIGATE EXCESS FUNDS FOR DETENTION SERVICES AT MESA VERDE AND CLOSEOUT THIS TASK ORDER.
70CDCR25FR0000004,CONT_AWD_70CDCR25FR0000004_7012_HSCEDM15D00015_7012,P00004,2025-03-19,131272.47,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,S206,HOUSEKEEPING- GUARD,"THIS MODIFICATION ADDS FUNDING FOR DETENTION SERVICES ABOVE THE GUARANTEED MINIMUM, OVERTIME TRANSPORTATION SERVICES, AND REMOTE POSTS AT A DETENTION FACILITY IN THE SEATTLE AREA OF RESPONSIBILITY"
70CDCR24FR0000056,CONT_AWD_70CDCR24FR0000056_7012_HSCEDM17D00009_7012,P00006,2025-03-21,5736700.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,561210,FACILITIES SUPPORT SERVICES,S206,HOUSEKEEPING- GUARD,THE PURPOSE OF THIS MODIFICATION IS TO ADD FUNDING FOR DETENTION AND TRANSPORTATION SERVICES AT MONTGOMERY PROCESSING CENTER.
70CDCR25FC0000002,CONT_AWD_70CDCR25FC0000002_7012_HSCEDM14A00001_7012,0,2025-03-31,655200.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,BPA CALL,U.S. Immigration and Customs Enforcement,922140,CORRECTIONAL INSTITUTIONS,S206,HOUSEKEEPING- GUARD,"THE PURPOSE OF THIS CONTRACT IS TO PROVIDE DETENTION AND TRANSPORTATION SERVICES AT RIO GRANDE DETENTION CENTER IN LAREDO, TX."
70CDCR23FR0000045,CONT_AWD_70CDCR23FR0000045_7012_70CDCR20D00000012_7012,P00014,2025-04-01,0.0,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,DELIVERY ORDER,U.S. Immigration and Customs Enforcement,922140,CORRECTIONAL INSTITUTIONS,S206,HOUSEKEEPING- GUARD,DETENTION AND TRANSPORTATION SERVICES - SOUTH TEXAS ICE PROCESSING CENTER (STIPC) FUNDING MODIFICATION  THIS IS A CLOSEOUT MODIFICATION
