canonical_award_id,piid,parent_idv_piid,recipient_legal_name,recipient_uei,recipient_cage,instrument_type,facility_or_service,awarding_office,period_start,current_end,potential_end,latest_action_date,obligations_highergov,award_amount_usaspending,usa_action_row_count,usa_action_net,current_total_value,potential_total_value,psc_code,psc_description,naics_code,naics_description,extent_competed,offers_received,solicitation_procedures,solicitation_identifier,subcontracting_plan,reported_subaward_count,reported_subaward_amount,coverage_class,description,highergov_url,usaspending_url
70CDCR18P00000084,70CDCR18P00000084,,"CORNELL COMPANIES, INC.",TLDCDE29G781,3MTH6,Purchase Order,Other ICE service — unresolved from description,DETENTION COMPLIANCE AND REMOVALS,2018-02-01,2019-01-31,2021-01-29,2022-11-15,0.0,0.0,3,0.0,0.0,0.0,S206,Guard Services,561612,Security Guards and Patrol Services ,Competed Under Simplified Acquisition Procedures,1,Simplified Acquisition,,Plan Not Required,0,,USAspending + HigherGov,USE OF THIS FACILITY DUE TO POSSIBLE INCLEMENT WEATHER AND HAZARDOUS DRIVING CONDITIONS.,https://www.highergov.com/contract/70CDCR18P00000084/,https://www.usaspending.gov/award/CONT_AWD_70CDCR18P00000084_7012_-NONE-_-NONE-
NROC940002-WRLGN199903CLNG900043NROC940002,NROC940002-WRLGN199903CLNG900043NROC940002,,CORRECTIONAL SERVICES CORPORATION,LTXHRJ986LF3,3KGQ1,Delivery Order,Other ICE service — unresolved from description,Immigration and Customs Enforcement,1999-03-15,1999-03-15,1999-03-15,1999-03-15,475000.0,,,,0.0,0.0,S206,Guard Services,,,Full And Open Competition,2,,,Plan Not Required,,,HigherGov legacy supplement only,,https://www.highergov.com/contract/NROC940002-WRLGN199903CLNG900043NROC940002/,
ACL9C0015-WRLGN199904CLNG900074ACL9C0015,WRLGN199904CLNG900074ACL9C0015,ACL9C0015,CORRECTIONAL SERVICES CORPORATION,LTXHRJ986LF3,3KGQ1,Delivery Order,Other ICE service — unresolved from description,Immigration and Customs Enforcement,1999-04-15,1999-06-15,1999-06-15,1999-04-15,1327000.0,,,,0.0,0.0,S206,Guard Services,,,Not Competed,1,,,Plan Not Required,,,HigherGov legacy supplement only,,https://www.highergov.com/contract/ACL9C0015-WRLGN199904CLNG900074ACL9C0015/,
ACL9C0015-WRLGN199907CLNG900145ACL9C0015,WRLGN199907CLNG900145ACL9C0015,ACL9C0015,CORRECTIONAL SERVICES CORPORATION,LTXHRJ986LF3,3KGQ1,Delivery Order,Other ICE service — unresolved from description,Immigration and Customs Enforcement,1999-07-15,1999-09-15,1999-09-15,1999-07-15,1341000.0,,,,0.0,0.0,S206,Guard Services,,,Not Competed,1,,,Plan Not Required,,,HigherGov legacy supplement only,,https://www.highergov.com/contract/ACL9C0015-WRLGN199907CLNG900145ACL9C0015/,
ACL9C0015-WRLGN199911CACL0D0035ACL9C0015,WRLGN199911CACL0D0035ACL9C0015,ACL9C0015,CORRECTIONAL SERVICES CORPORATION,LTXHRJ986LF3,3KGQ1,Delivery Order,Other ICE service — unresolved from description,Immigration and Customs Enforcement,1999-11-15,1999-12-15,1999-12-15,1999-11-15,1341000.0,,,,0.0,0.0,S206,Guard Services,,,Not Competed,1,,,Plan Not Required,,,HigherGov legacy supplement only,,https://www.highergov.com/contract/ACL9C0015-WRLGN199911CACL0D0035ACL9C0015/,
ACL9C0015-WRLGN199912CACL0D0114ACL9C0015,WRLGN199912CACL0D0114ACL9C0015,ACL9C0015,CORRECTIONAL SERVICES CORPORATION,LTXHRJ986LF3,3KGQ1,Delivery Order,Other ICE service — unresolved from description,Immigration and Customs Enforcement,1999-12-15,2000-06-15,2000-06-15,1999-12-15,2653000.0,,,,0.0,0.0,S206,Guard Services,,,Not Competed,1,,,Plan Required,,,HigherGov legacy supplement only,,https://www.highergov.com/contract/ACL9C0015-WRLGN199912CACL0D0114ACL9C0015/,
ACL0C0003-WRLGN200107CACL1D0259ACL0C0003,WRLGN200107CACL1D0259ACL0C0003,ACL0C0003,CORRECTIONAL SERVICES CORPORATION,LTXHRJ986LF3,3KGQ1,Delivery Order,Other ICE service — unresolved from description,Immigration and Customs Enforcement,2001-07-15,2001-12-15,2001-12-15,2001-07-15,1373000.0,,,,0.0,0.0,S206,Guard Services,561612,Security Guards and Patrol Services ,Not Competed,1,,,Plan Not Required,,,HigherGov legacy supplement only,,https://www.highergov.com/contract/ACL0C0003-WRLGN200107CACL1D0259ACL0C0003/,
ACL0C0003-WRLGN200206CACL2D0160ACL0C0003,WRLGN200206CACL2D0160ACL0C0003,ACL0C0003,CORRECTIONAL SERVICES CORPORATION,LTXHRJ986LF3,3KGQ1,Delivery Order,Other ICE service — unresolved from description,Immigration and Customs Enforcement,2002-06-15,2002-06-15,2002-06-15,2002-06-15,58000.0,,,,0.0,0.0,S206,Guard Services,561612,Security Guards and Patrol Services ,Full And Open Competition,1,,,Plan Not Required,,,HigherGov legacy supplement only,,https://www.highergov.com/contract/ACL0C0003-WRLGN200206CACL2D0160ACL0C0003/,
WRLGN200206DACL2C0005,WRLGN200206DACL2C0005,,CORRECTIONAL SERVICES CORPORATION,LTXHRJ986LF3,3KGQ1,Definitive Contract,Other ICE service — unresolved from description,Immigration and Customs Enforcement,2002-06-15,2003-04-15,2003-04-15,2002-06-15,5038000.0,,,,0.0,0.0,S206,Guard Services,561612,Security Guards and Patrol Services ,Full And Open Competition,1,,,Plan Required,,,HigherGov legacy supplement only,,https://www.highergov.com/contract/WRLGN200206DACL2C0005/,
ACL2C0005-ACL00200304CACL3D0158ACL2C0005,ACL00200304CACL3D0158ACL2C0005,ACL2C0005,CORRECTIONAL SERVICES CORPORATION,LTXHRJ986LF3,3KGQ1,Delivery Order,Other ICE service — unresolved from description,INVESTIGATIONS AND OPERATIONS SUPPORT DALLAS,2003-04-15,2004-01-15,2004-01-15,2017-05-31,4475335.0,4475335.0,1,0,0.0,0.0,S206,Guard Services,561612,Security Guards and Patrol Services ,Full And Open Competition,1,,,Plan Required,0,,USAspending + HigherGov,,https://www.highergov.com/contract/ACL2C0005-ACL00200304CACL3D0158ACL2C0005/,https://www.usaspending.gov/award/CONT_AWD_ACL00200304CACL3D0158ACL2C0005_7012_ACL2C0005_7012
ACL2C0005-HSACL2C0005HSACL4D0102,HSACL2C0005HSACL4D0102,ACL2C0005,CORRECTIONAL SERVICES CORPORATION,LTXHRJ986LF3,3KGQ1,Delivery Order,Other ICE service — unresolved from description,INVESTIGATIONS AND OPERATIONS SUPPORT DALLAS,2004-01-30,2004-04-30,2004-10-31,2017-05-31,1484465.5,1484465.5,1,0,1484465.5,1484465.5,S206,Guard Services,,,Not Competed,1,,,,0,,USAspending + HigherGov,NOT AVAILABLE,https://www.highergov.com/contract/ACL2C0005-HSACL2C0005HSACL4D0102/,https://www.usaspending.gov/award/CONT_AWD_HSACL2C0005HSACL4D0102_7012_ACL2C0005_7012
ACL2C0005-HSACL4D0102,HSACL4D0102,ACL2C0005,CORRECTIONAL SERVICES CORPORATION,LTXHRJ986LF3,3KGQ1,Delivery Order,Detention services — facility unresolved from description,INVESTIGATIONS AND OPERATIONS SUPPORT DALLAS,2004-02-01,2004-04-30,2004-10-31,2017-05-31,0.0,0.0,1,0,0.0,0.0,S206,Guard Services,,,Not Competed,1,,,,0,,USAspending + HigherGov,UNARMED GUARD SERVICES,https://www.highergov.com/contract/ACL2C0005-HSACL4D0102/,https://www.usaspending.gov/award/CONT_AWD_HSACL4D0102_7012_ACL2C0005_7012
HSCEDM15D00008-HSCEDM15J00039,HSCEDM15J00039,HSCEDM15D00008,"GEO CARE SERVICES, LLC",G6XJKMJUNB91,7D4M5,Delivery Order,Other ICE service — unresolved from description,DETENTION COMPLIANCE AND REMOVALS,2015-09-21,2016-09-20,2016-09-20,2021-06-23,1869653.14,1869653.14,2,-17751.42,1869653.14,1869653.14,G099,Other Social Services,624190,Other Individual and Family Services ,Full And Open Competition,,Negotiated Proposal/Quote,HSCEDM15R00008,,0,,USAspending + HigherGov,IGF::CT::IGF TASK ORDER FOR FAMILY CASE MANAGEMENT SERVICES [DC],https://www.highergov.com/contract/HSCEDM15D00008-HSCEDM15J00039/,https://www.usaspending.gov/award/CONT_AWD_HSCEDM15J00039_7012_HSCEDM15D00008_7012
HSCEDM15D00010-HSCEDM15J00040,HSCEDM15J00040,HSCEDM15D00010,"GEO CARE SERVICES, LLC",G6XJKMJUNB91,7D4M5,Delivery Order,Other ICE service — unresolved from description,DETENTION COMPLIANCE AND REMOVALS,2015-09-21,2016-09-20,2016-09-20,2021-06-28,1704890.26,1704890.26,2,-62380.29,1704890.26,1704890.26,G099,Other Social Services,624190,Other Individual and Family Services ,Full And Open Competition,,Negotiated Proposal/Quote,HSCEDM15R00009,,0,,USAspending + HigherGov,IGF::CT::IGF TASK ORDER FOR FAMILY CASE MANAGEMENT SERVICES [LA],https://www.highergov.com/contract/HSCEDM15D00010-HSCEDM15J00040/,https://www.usaspending.gov/award/CONT_AWD_HSCEDM15J00040_7012_HSCEDM15D00010_7012
HSCEDM15D00011-HSCEDM15J00041,HSCEDM15J00041,HSCEDM15D00011,"GEO CARE SERVICES, LLC",G6XJKMJUNB91,7D4M5,Delivery Order,Other ICE service — unresolved from description,DETENTION COMPLIANCE AND REMOVALS,2015-09-21,2016-09-20,2016-09-20,2023-04-12,1955753.46,1955753.46,2,-53879.48,1955753.46,1955753.46,G099,Other Social Services,624190,Other Individual and Family Services ,Full And Open Competition,,Negotiated Proposal/Quote,HSCEDM15R00010,,0,,USAspending + HigherGov,TASK ORDER FOR FAMILY CASE MANAGEMENT SERVICES [NY],https://www.highergov.com/contract/HSCEDM15D00011-HSCEDM15J00041/,https://www.usaspending.gov/award/CONT_AWD_HSCEDM15J00041_7012_HSCEDM15D00011_7012
HSCEDM15D00012-HSCEDM15J00042,HSCEDM15J00042,HSCEDM15D00012,"GEO CARE SERVICES, LLC",G6XJKMJUNB91,7D4M5,Delivery Order,Other ICE service — unresolved from description,DETENTION COMPLIANCE AND REMOVALS,2015-09-21,2016-09-20,2016-09-20,2021-06-17,1638800.59,1638800.59,2,-72404.16,1638800.59,1638800.59,G099,Other Social Services,624190,Other Individual and Family Services ,Full And Open Competition,,Negotiated Proposal/Quote,HSCEDM15R00011,,0,,USAspending + HigherGov,IGF::CT::IGF TASK ORDER FOR FAMILY CASE MANAGEMENT SERVICES [MIA],https://www.highergov.com/contract/HSCEDM15D00012-HSCEDM15J00042/,https://www.usaspending.gov/award/CONT_AWD_HSCEDM15J00042_7012_HSCEDM15D00012_7012
HSCEDM15D00013-HSCEDM15J00043,HSCEDM15J00043,HSCEDM15D00013,"GEO CARE SERVICES, LLC",G6XJKMJUNB91,7D4M5,Delivery Order,Other ICE service — unresolved from description,DETENTION COMPLIANCE AND REMOVALS,2015-09-21,2016-09-20,2016-09-28,2021-06-28,1719893.33,1719893.33,2,-46081.99,1719893.33,1719893.33,G099,Other Social Services,624190,Other Individual and Family Services ,Full And Open Competition,,Negotiated Proposal/Quote,HSCEDM15R00012,,0,,USAspending + HigherGov,IGF::CT::IGF TASK ORDER FOR FAMILY CASE MANAGEMENT SERVICES [CHI],https://www.highergov.com/contract/HSCEDM15D00013-HSCEDM15J00043/,https://www.usaspending.gov/award/CONT_AWD_HSCEDM15J00043_7012_HSCEDM15D00013_7012
HSCEDM15D00008-HSCEDM16J00044,HSCEDM16J00044,HSCEDM15D00008,"GEO CARE SERVICES, LLC",G6XJKMJUNB91,7D4M5,Delivery Order,Other ICE service — unresolved from description,DETENTION COMPLIANCE AND REMOVALS,2016-09-16,2021-03-20,2021-03-20,2017-12-08,1911358.29,1911358.29,3,221394.43000000002,1911358.29,1911358.29,G099,Other Social Services,624190,Other Individual and Family Services ,Full And Open Competition,,Negotiated Proposal/Quote,HSCEDM15R00008,Plan Not Required,0,,USAspending + HigherGov,IGF::CT::IGF,https://www.highergov.com/contract/HSCEDM15D00008-HSCEDM16J00044/,https://www.usaspending.gov/award/CONT_AWD_HSCEDM16J00044_7012_HSCEDM15D00008_7012
HSCEDM15D00010-HSCEDM16J00046,HSCEDM16J00046,HSCEDM15D00010,"GEO CARE SERVICES, LLC",G6XJKMJUNB91,7D4M5,Delivery Order,Other ICE service — unresolved from description,DETENTION COMPLIANCE AND REMOVALS,2016-09-16,2021-03-20,2021-03-20,2017-12-08,2147276.63,2147276.63,3,558467.66,2147276.63,2147276.63,G099,Other Social Services,624190,Other Individual and Family Services ,Full And Open Competition,,Negotiated Proposal/Quote,,Plan Not Required,0,,USAspending + HigherGov,IGF::CT::IGF,https://www.highergov.com/contract/HSCEDM15D00010-HSCEDM16J00046/,https://www.usaspending.gov/award/CONT_AWD_HSCEDM16J00046_7012_HSCEDM15D00010_7012
