idv_piid,recipient_legal_name,recipient_uei,idv_type,facility_or_service,period_start,ordering_period_end,potential_total_value,task_order_or_call_count,linked_order_obligations_highergov,child_piids,psc_code,naics_code,offers_received,extent_competed,solicitation_procedures,solicitation_identifier,description,highergov_url
HSCEAD04C0001,CORRECTIONAL SERVICES CORPORATION,LTXHRJ986LF3,IDC,Other ICE service — unresolved from description,2017-05-31,2009-02-27,21390764.0,0,0,,S216,922140,3,Full And Open Competition,,,"PROVIDE FOR 1080 BED FACILITY AND SECURITY IN FRIO COUNTY, TEXAS",https://www.highergov.com/idv/HSCEAD04C0001/
HSCEDM15D00008,"GEO CARE SERVICES, LLC",G6XJKMJUNB91,IDC,Other ICE service — unresolved from description,2015-09-21,2021-03-20,13957664.29,2,3781011.4299999997,HSCEDM15J00039|HSCEDM16J00044,G099,624190,4,Full And Open Competition,Negotiated Proposal/Quote,HSCEDM15R00008,FAMILY CASE MANAGEMENT SERVICES [DC],https://www.highergov.com/idv/HSCEDM15D00008/
HSCEDM15D00010,"GEO CARE SERVICES, LLC",G6XJKMJUNB91,IDC,Other ICE service — unresolved from description,2015-09-21,2021-03-20,13136926.91,2,3852166.8899999997,HSCEDM15J00040|HSCEDM16J00046,G099,624190,4,Full And Open Competition,Negotiated Proposal/Quote,HSCEDM15R00009,FAMILY CASE MANAGEMENT SERVICES [LA],https://www.highergov.com/idv/HSCEDM15D00010/
HSCEDM15D00011,"GEO CARE SERVICES, LLC",G6XJKMJUNB91,IDC,Other ICE service — unresolved from description,2015-09-21,2021-03-20,15192404.94,2,4146612.53,HSCEDM15J00041|HSCEDM16J00047,G099,624190,4,Full And Open Competition,Negotiated Proposal/Quote,HSCEDM15R00010,FAMILY CASE MANAGEMENT SERVICES [NY],https://www.highergov.com/idv/HSCEDM15D00011/
HSCEDM15D00012,"GEO CARE SERVICES, LLC",G6XJKMJUNB91,IDC,Other ICE service — unresolved from description,2015-09-21,2021-03-20,13418601.12,2,3547406.7800000003,HSCEDM15J00042|HSCEDM16J00048,G099,624190,4,Full And Open Competition,Negotiated Proposal/Quote,HSCEDM15R00011,FAMILY CASE MANAGEMENT SERVICES [MIA],https://www.highergov.com/idv/HSCEDM15D00012/
HSCEDM15D00013,"GEO CARE SERVICES, LLC",G6XJKMJUNB91,IDC,Other ICE service — unresolved from description,2015-09-21,2021-03-20,13961595.27,2,3676022.63,HSCEDM15J00043|HSCEDM16J00049,G099,624190,4,Full And Open Competition,Negotiated Proposal/Quote,HSCEDM15R00012,FAMILY CASE MANAGEMENT SERVICES [CHI],https://www.highergov.com/idv/HSCEDM15D00013/
70CDCR25D00000002,"GEO TRANSPORT, INC.",DFEKRCYPZD84,IDC,Transportation/removal services,2025-02-28,2027-02-27,484248770.87,1,10384455.59,70CDCR26FR0000002,S206,561612,8,Full And Open Competition,Negotiated Proposal/Quote,70CDCR24R00000007,"THIS AWARD PROVIDES GROUND TRANSPORTATION SERVICES IN SUPPORT OF ENFORCEMENT AND REMOVAL OPERATIONS IN LOS ANGELES, SAN FRANCISCO, SAN DIEGO, PHOENIX, AND SALT LAKE CITY FIELD OFFICES",https://www.highergov.com/idv/70CDCR25D00000002/
ACB2C0005,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,Other ICE service — unresolved from description,2002-12-15,2003-03-15,0.0,6,1770110.02,ACB00200303CACB3D0002ACB2C0005|ACB00200306CACB3D0003ACB2C0005|ERBUR200204CACB2D0025ACB2C0005|ERBUR200210CACB3D0002ACB2C0005|HSACB2C0005HSCSAL4D0208|HSACL4D0208,S206,561612,1,Full And Open Competition,,,,https://www.highergov.com/idv/ACB2C0005/
ACB2C0006,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,Other ICE service — unresolved from description,2003-01-15,2003-09-15,0.0,3,5281954.0,ACB00200301CACB2D0055ACB2C0006|ACB00200305CACB2D0055ACB2C0006|ERBUR200208CACB2D0055ACB2C0006,S206,561612,1,Not Competed,,,,https://www.highergov.com/idv/ACB2C0006/
HSODT6C0002,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,Detention services — facility unresolved from description,2006-01-01,2008-01-05,0.0,7,113874.75,HSCEDM08F00007|HSCEDM09F00012|HSCEDM10F00016|HSCEDM14F00002|HSCEDM16F00001|HSCEDM17F00001|HSCEOP07F00255,S206,561612,3,Full And Open Competition,Negotiated Proposal/Quote,,OFF-SITE GUARD SERVICES,https://www.highergov.com/idv/HSODT6C0002/
HSCEDM11D00003,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,Aurora Contract Detention Facility,2011-09-15,2021-10-15,361177334.17,11,314480954.48,70CDCR18FR0000052|70CDCR19FR0000089|70CDCR20FR0000066|HSCEDM11J00054|HSCEDM12J00062|HSCEDM13J00036|HSCEDM14J00031|HSCEDM15J00029|HSCEDM15J00036|HSCEDM16J00042|HSCEDM17J00031,S206,561210,1,Full And Open Competition,Negotiated Proposal/Quote,HSCEDM11R00002,CONTRACT DETENTION SERVICES FOR THE AURORA METROPOLITAN AREA,https://www.highergov.com/idv/HSCEDM11D00003/
HSCEAB04C0001,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,IDC,Broward Transitional Center,2012-02-13,2012-02-13,48140610.57,5,29017801.25,HSACL5D0002|HSCEDM08J00019|HSCEOP06J00180|HSCEOP06J00405|HSCEOP07J00215,S206,561612,2,Full And Open Competition,Negotiated Proposal/Quote,,DETENTION SERVICES BROWARD TRANSITIONAL CENTER,https://www.highergov.com/idv/HSCEAB04C0001/
