acquisition_layer,competition_denominator,record_id,piid,parent_idv_piid,is_order_or_call,recipient_legal_name,recipient_uei,instrument_type,facility_or_service,award_obligations_usaspending,linked_order_obligations_highergov,potential_total_value,period_start,potential_end,extent_competed,solicitation_procedures,offers_received,solicitation_identifier,set_aside,fair_opportunity_limitation,other_than_full_and_open_reason,multiple_or_single_award,competition_bucket,reported_subaward_count,reported_subaward_amount,description,source_url,source_coverage,parent_vehicle_extent_competed,parent_vehicle_solicitation_procedures,parent_vehicle_offers_received,parent_vehicle_solicitation_identifier,parent_vehicle_competition_bucket,parent_vehicle_source_url
prime_award,yes,HSCEDM17D00009-70CDCR21FR0000057,70CDCR21FR0000057,HSCEDM17D00009,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,Delivery Order,Montgomery Processing Center,39294732.79,,39294732.79,2021-08-17,2022-08-17,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,HSCEDM-15-R-00004,,,,SINGLE AWARD,full_open_offer_count_missing,0,,MONTGOMERY PROCESSING CENTER DETENTION SERVICES,https://www.usaspending.gov/award/CONT_AWD_70CDCR21FR0000057_7012_HSCEDM17D00009_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,3,HSCEDM15R00004,full_open_multiple_offers,https://www.highergov.com/idv/HSCEDM17D00009/
prime_award,yes,70CDCR21D00000004-70CDCR21FR0000059,70CDCR21FR0000059,70CDCR21D00000004,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,Delivery Order,Transportation/removal services,34417491.34,,34417491.34,2021-08-30,2023-01-27,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,,,,,SINGLE AWARD,full_open_offer_count_missing,0,,MIA AOR IMMIGRATION DETENTION AND TRANSPORTATION SERVICES,https://www.usaspending.gov/award/CONT_AWD_70CDCR21FR0000059_7012_70CDCR21D00000004_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,1,70CDCR20R00000007,full_open_one_offer,https://www.highergov.com/idv/70CDCR21D00000004/
prime_award,yes,HSCEDM15D00015-70CDCR21FR0000073,70CDCR21FR0000073,HSCEDM15D00015,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,Delivery Order,Transportation/removal services,5348089.81,,5348089.81,2021-09-28,2022-11-05,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,,,,,SINGLE AWARD,full_open_offer_count_missing,0,,DETENTION AND TRANSPORTATION SERVICES NORTHWEST DETENTION CENTER TACOMA,https://www.usaspending.gov/award/CONT_AWD_70CDCR21FR0000073_7012_HSCEDM15D00015_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,1,HSCEDM15R00001,full_open_one_offer,https://www.highergov.com/idv/HSCEDM15D00015/
prime_award,yes,15M40018DA3500001-70CDCR22FR0000003,70CDCR22FR0000003,15M40018DA3500001,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,Delivery Order,Detention services — facility unresolved from description,83.40,,83.40,2021-10-01,2022-03-31,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,,,,,,SINGLE AWARD,simplified_acquisition_offer_count_missing,0,,DETENTION AND GUARD SERVICES,https://www.usaspending.gov/award/CONT_AWD_70CDCR22FR0000003_7012_15M40018DA3500001_1544,USAspending + HigherGov,,,,,,
prime_award,yes,70CDCR22D00000001-70CDCR22FR0000001,70CDCR22FR0000001,70CDCR22D00000001,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,Delivery Order,Transportation/removal services,43859762.34,,43859762.34,2021-10-19,2022-10-15,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,,,,,SINGLE AWARD,full_open_offer_count_missing,0,,"DETENTION, TRANSPORTATION AND MEDICAL SERVICES FOR DENVER (AURORA) CONTRACT DETENTION FACILITY",https://www.usaspending.gov/award/CONT_AWD_70CDCR22FR0000001_7012_70CDCR22D00000001_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,1,70CDCR21R00000002,full_open_one_offer,https://www.highergov.com/idv/70CDCR22D00000001/
prime_award,yes,HSCEDM15D00015-70CDCR22FR0000002,70CDCR22FR0000002,HSCEDM15D00015,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,Delivery Order,Transportation/removal services,65941447.91,,65941447.91,2021-10-27,2022-11-26,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,HSCEDM-15-R-00001,,,,SINGLE AWARD,full_open_offer_count_missing,0,,DETENTION AND TRANSPORTATION SERVICES NORTHWEST DETENTION CENTER TACOMA,https://www.usaspending.gov/award/CONT_AWD_70CDCR22FR0000002_7012_HSCEDM15D00015_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,1,HSCEDM15R00001,full_open_one_offer,https://www.highergov.com/idv/HSCEDM15D00015/
prime_award,yes,70CDCR20D00000008-70CDCR22FR0000012,70CDCR22FR0000012,70CDCR20D00000008,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,Delivery Order,Golden State Annex,52913469.21,,52913469.21,2021-12-20,2022-12-19,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,,,,,SINGLE AWARD,full_open_offer_count_missing,0,,"TASK ORDER FOR DETENTION SERVICES AT MESA VERDE AND GOLDEN STATE FACILITIES, CA",https://www.usaspending.gov/award/CONT_AWD_70CDCR22FR0000012_7012_70CDCR20D00000008_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,1,70CDCR20R00000002,full_open_one_offer,https://www.highergov.com/idv/70CDCR20D00000008/
prime_award,yes,70CDCR20D00000009-70CDCR22FR0000010,70CDCR22FR0000010,70CDCR20D00000009,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,Delivery Order,Los Angeles AOR detention services,122464905.00,,122464905.00,2021-12-20,2022-12-19,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,,,,,SINGLE AWARD,full_open_offer_count_missing,0,,TASK ORDER TO PROVIDE DETENTION SERVICES IN LOS ANGELES AREA OF RESPONSIBILITY,https://www.usaspending.gov/award/CONT_AWD_70CDCR22FR0000010_7012_70CDCR20D00000009_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,1,70CDCR20R00000002,full_open_one_offer,https://www.highergov.com/idv/70CDCR20D00000009/
prime_award,yes,HSCEDM14A00001-70CDCR22FC0000011,70CDCR22FC0000011,HSCEDM14A00001,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,BPA Call,Rio Grande detention services,4136141.62,,4136141.62,2022-04-01,2023-06-29,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,1,,NO SET ASIDE USED.,,,SINGLE AWARD,simplified_acquisition_one_offer,0,,"FUNDING FOR RIO GRANDE FACILITY WITH GEO GROUP UNDER DOJ NUMBER ODT-7-C-0003. NEW TASK ORDER . (POP 4/1/22 - 3/31/23)

COR: JOSE LONGORIA",https://www.usaspending.gov/award/CONT_AWD_70CDCR22FC0000011_7012_HSCEDM14A00001_7012,USAspending + HigherGov,,,,,competition_metadata_missing,https://www.highergov.com/idv/HSCEDM14A00001/
prime_award,yes,70CDCR18A00000007-70CDCR22FC0000012,70CDCR22FC0000012,70CDCR18A00000007,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,BPA Call,Robert A. Deyton Detention Facility,211329.15,,211329.15,2022-07-23,2023-07-22,COMPETED UNDER SAP,SIMPLIFIED ACQUISITION,1,,NO SET ASIDE USED.,,,SINGLE AWARD,simplified_acquisition_one_offer,0,,DETAINEE BED DAYS AT THE ROBERT A. DEYTON DETENTION FACILITY,https://www.usaspending.gov/award/CONT_AWD_70CDCR22FC0000012_7012_70CDCR18A00000007_7012,USAspending + HigherGov,,,,,competition_metadata_missing,https://www.highergov.com/idv/70CDCR18A00000007/
prime_award,yes,70CDCR20D00000012-70CDCR22FR0000041,70CDCR22FR0000041,70CDCR20D00000012,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,Delivery Order,South Texas ICE Processing Center,54162847.22,,54162847.22,2022-08-06,2024-05-30,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,,,,,SINGLE AWARD,full_open_offer_count_missing,0,,SOUTH TEXAS DETENTION COMPLEX NEW TASK ORDER - POP 06 AUG 2022 - 05 AUG 2023.,https://www.usaspending.gov/award/CONT_AWD_70CDCR22FR0000041_7012_70CDCR20D00000012_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,1,70CDCR20R0000001,full_open_one_offer,https://www.highergov.com/idv/70CDCR20D00000012/
prime_award,yes,HSCEDM17D00009-70CDCR22FR0000045,70CDCR22FR0000045,HSCEDM17D00009,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,Delivery Order,Montgomery Processing Center,48312099.25,,48312099.25,2022-08-18,2024-08-08,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,HSCEDM-15-R-00004,,,,SINGLE AWARD,full_open_offer_count_missing,0,,"**NEW TASK ORDER NUMBER ( MONTGOMERY PROCESSING CENTER (MPC) /GEO)
CONTRACT PERIOD OF PERFORMANCE- 18 AUG 2022 - 17 AUG 2023
FUNDING PERIOD OF PERFORMANCE - 18 AUG 2022 - 30 SEP 2022",https://www.usaspending.gov/award/CONT_AWD_70CDCR22FR0000045_7012_HSCEDM17D00009_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,3,HSCEDM15R00004,full_open_multiple_offers,https://www.highergov.com/idv/HSCEDM17D00009/
prime_award,yes,70CDCR21D00000004-70CDCR22FR0000044,70CDCR22FR0000044,70CDCR21D00000004,yes,"THE GEO GROUP, INC.",JMLKZZ1NL2Z6,Delivery Order,Transportation/removal services,36788066.45,,39380858.91,2022-09-01,2024-01-27,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,,,,,,SINGLE AWARD,full_open_offer_count_missing,0,,MIA AOR DETENTION AND TRANSPORTATION SERVICES,https://www.usaspending.gov/award/CONT_AWD_70CDCR22FR0000044_7012_70CDCR21D00000004_7012,USAspending + HigherGov,Full And Open Competition,Negotiated Proposal/Quote,1,70CDCR20R00000007,full_open_one_offer,https://www.highergov.com/idv/70CDCR21D00000004/
